Episode,Scenario,Reward,Steps,Success,Collision,RepeatFailure,CorrectReject,FalseReject,RecoverySuccess
152,repeat_failure,1.97,1,True,False,False,True,False,False
153,repeat_failure,-12.8561,2,True,False,False,True,False,False
154,pedestrian,-1.03,1,False,False,False,False,True,False
155,post_collision,-1.03,1,False,False,False,False,True,False
156,rough_terrain,8.0258,1,True,False,False,False,False,False
157,post_collision,1.97,1,True,False,False,True,False,False
158,entrance_misclassification,-9.1936,2,True,False,False,True,False,False
159,rough_terrain,-9.787,2,True,False,False,True,False,False
160,dynamic_obstacle,-10.6391,2,True,False,False,True,False,False
161,post_collision,-12.6898,2,True,False,False,True,False,False
162,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
163,post_collision,9.8292,1,True,False,False,False,False,False
164,dynamic_obstacle,-9.0737,2,True,False,False,True,False,False
165,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
166,pedestrian,-1.03,1,False,False,False,False,True,False
167,pedestrian,-10.5664,2,True,False,False,True,False,False
168,entrance_misclassification,1.97,1,True,False,False,True,False,False
169,pedestrian,-9.0558,2,True,False,False,True,False,False
170,entrance_misclassification,1.97,1,True,False,False,True,False,False
171,entrance_misclassification,-9.181,2,True,False,False,True,False,False
172,rough_terrain,1.97,1,True,False,False,True,False,False
173,pedestrian,8.8943,1,True,False,False,False,False,False
174,entrance_misclassification,1.97,1,True,False,False,True,False,False
175,rough_terrain,-13.6592,3,True,False,False,True,False,False
176,dynamic_obstacle,-9.3919,2,True,False,False,True,False,False
177,repeat_failure,1.97,1,True,False,False,True,False,False
178,repeat_failure,1.97,1,True,False,False,True,False,False
179,repeat_failure,1.97,1,True,False,False,True,False,False
180,dynamic_obstacle,-8.8911,2,True,False,False,True,False,False
181,post_collision,1.97,1,True,False,False,True,False,False
182,rough_terrain,1.97,1,True,False,False,True,False,False
183,dynamic_obstacle,1.97,1,True,False,False,True,False,False
184,pedestrian,1.97,1,True,False,False,True,False,False
185,repeat_failure,-14.0667,2,True,False,False,True,False,False
186,rough_terrain,1.97,1,True,False,False,True,False,False
187,rough_terrain,-1.03,1,False,False,False,False,True,False
188,entrance_misclassification,1.97,1,True,False,False,True,False,False
189,rough_terrain,-1.03,1,False,False,False,False,True,False
190,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
191,entrance_misclassification,1.97,1,True,False,False,True,False,False
192,rough_terrain,-10.128,2,True,False,False,True,False,False
193,post_collision,-1.03,1,False,False,False,False,True,False
194,entrance_misclassification,1.97,1,True,False,False,True,False,False
195,post_collision,1.97,1,True,False,False,True,False,False
196,post_collision,9.721,1,True,False,False,False,False,False
197,post_collision,1.97,1,True,False,False,True,False,False
198,dynamic_obstacle,-10.6765,2,True,False,False,True,False,False
199,rough_terrain,1.97,1,True,False,False,True,False,False
