Phase,Scene,Planner,Seed,Success,Length,Clearance,Time
point,w6,RRT*,5,True,48.862,0,0.0334
point,w6,RRT*,6,True,47.882,0,0.0374
point,w6,RRT*,7,True,47.302,0,0.0367
point,w6,RRT*,8,True,48.186,1,0.0321
point,w6,RRT*,9,True,47.756,0,0.0329
point,w6,RRT*,10,True,47.77,0,0.0382
point,w6,RRT*,11,True,47.617,0,0.0357
point,w6,RRT*,12,True,48.777,0,0.036
point,w6,RRT*,13,True,47.38,0,0.0397
point,w6,RRT*,14,True,48.367,0,0.0386
point,w6,RRT*,15,True,48.461,0,0.0409
point,w6,RRT*,16,True,47.848,0,0.0337
point,w6,RRT*,17,True,47.576,0,0.0351
point,w6,RRT*,18,True,47.917,0,0.0338
point,w6,RRT*,19,True,47.696,0,0.038
point,w6,RRT*,20,True,48.048,0,0.0332
point,w6,RRT*,21,True,47.912,0,0.0359
point,w6,RRT*,22,True,47.911,0,0.0368
point,w6,RRT*,23,True,48.291,1,0.0371
point,w6,RRT*,24,True,48.39,0,0.0385
point,w6,RRT*,25,True,49.714,0,0.0344
point,w6,RRT*,26,True,47.884,0,0.0394
point,w6,RRT*,27,True,47.447,0,0.0357
point,w6,RRT*,28,True,47.535,0,0.0337
point,w6,RRT*,29,True,47.986,0,0.0322
point,w6,RRT*,30,True,48.021,0,0.0369
point,w6,RRT*,31,True,47.985,0,0.058
point,w6,RRT*,32,True,48.016,0,0.0372
point,w6,RRT*,33,True,48.917,0,0.0308
point,w6,RRT*,34,True,47.6,0,0.0378
point,w6,RRT*,35,True,47.534,0,0.0349
point,w6,RRT*,36,True,47.815,0,0.0349
point,w6,RRT*,37,True,48.654,0,0.0406
point,w6,RRT*,38,True,47.947,0,0.035
point,w6,RRT*,39,True,48.668,0,0.0371
point,w6,RRT*,40,True,47.593,0,0.0376
point,w6,RRT*,41,True,47.802,0,0.0362
point,w6,RRT*,42,True,47.589,0,0.0378
point,w6,RRT*,43,True,48.031,0,0.0352
point,w6,RRT*,44,True,48.169,0,0.0379
point,w6,RRT*,45,True,47.85,0,0.0343
point,w6,RRT*,46,True,47.687,0,0.042
point,w6,RRT*,47,True,47.404,0,0.0372
point,w6,RRT*,48,True,48.931,0,0.0329
point,w6,RRT*,49,True,47.962,0,0.0345
point,w6,RRT*,50,True,47.572,0,0.0333
point,w6,RRT*,51,True,48.114,0,0.0363
point,w6,RRT*,52,True,50.294,0,0.0372
point,w6,RRT*,53,True,48.957,0,0.0367
point,w6,RRT*,54,True,48.089,0,0.0347
point,w6,RRT*,55,True,48.479,0,0.0376
point,w6,RRT*,56,True,48.504,1,0.0367
point,w6,RRT*,57,True,47.525,0,0.0369
point,w6,RRT*,58,True,47.415,0,0.0346
