Suite,Variant,Seed,Mission,Attempt,TrajectoryType,Planned,Executable,Collision,UsedFailedPassage,Replans,WaitSteps,TimeSteps,PathLength,MinClearance,PredictionMAE,MeanRiskRadius,ExpandedStates,MeanPlanningTime,TotalCost
dataset-hidden-blockage-hard,RPP proxy + random retry,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0542,220.581
dataset-hidden-blockage-hard,RPP proxy + random retry,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0558,225.581
dataset-hidden-blockage-hard,RPP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.055,220.581
dataset-hidden-blockage-hard,RPP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.1755,193.581
dataset-hidden-blockage-hard,ATR proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0587,218.823
dataset-hidden-blockage-hard,ATR proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,0.0594,223.823
dataset-hidden-blockage-hard,ATR proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0591,218.823
dataset-hidden-blockage-hard,ATR proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,0.1837,192.995
dataset-hidden-blockage-hard,DDP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2447,220.581
dataset-hidden-blockage-hard,DDP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.24,225.581
dataset-hidden-blockage-hard,DDP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2397,220.581
dataset-hidden-blockage-hard,DDP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.368,193.581
dataset-hidden-blockage-hard,RTEB proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2921,218.823
dataset-hidden-blockage-hard,RTEB proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,2.2714,223.823
dataset-hidden-blockage-hard,RTEB proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2816,218.823
dataset-hidden-blockage-hard,RTEB proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,4.994,192.995
dataset-hidden-blockage-hard,Ours full,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,2.0336,220.581
dataset-hidden-blockage-hard,Ours full,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,4.7873,193.581
dataset-hidden-blockage-very-hard,RPP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0541,220.581
dataset-hidden-blockage-very-hard,RPP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0537,225.581
dataset-hidden-blockage-very-hard,RPP proxy + random retry,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0539,220.581
dataset-hidden-blockage-very-hard,RPP proxy + random retry,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0542,225.581
dataset-hidden-blockage-very-hard,RPP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0539,220.581
dataset-hidden-blockage-very-hard,RPP proxy + failure memory,0,0,2,"(376, 225)",True,False,True,True,1,0,0,121.167,0,0.0,0.0,0,0.056,226.167
dataset-hidden-blockage-very-hard,ATR proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0584,218.823
dataset-hidden-blockage-very-hard,ATR proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,0.0588,223.823
dataset-hidden-blockage-very-hard,ATR proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0589,218.823
dataset-hidden-blockage-very-hard,ATR proxy + failure memory,0,0,2,"(376, 225)",True,False,True,True,1,0,0,119.995,0,0.0,0.0,0,0.0601,224.995
dataset-hidden-blockage-very-hard,DDP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2382,220.581
dataset-hidden-blockage-very-hard,DDP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.2443,225.581
dataset-hidden-blockage-very-hard,DDP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2398,220.581
dataset-hidden-blockage-very-hard,DDP proxy + failure memory,0,0,2,"(376, 225)",True,False,True,True,1,0,0,121.167,0,0.0,0.0,0,0.2431,226.167
dataset-hidden-blockage-very-hard,RTEB proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2864,218.823
dataset-hidden-blockage-very-hard,RTEB proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,2.2899,223.823
dataset-hidden-blockage-very-hard,RTEB proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2865,218.823
dataset-hidden-blockage-very-hard,RTEB proxy + failure memory,0,0,2,"(376, 225)",True,False,True,True,1,0,0,119.995,0,0.0,0.0,0,2.0948,224.995
dataset-hidden-blockage-very-hard,Ours full,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,2.0433,220.581
dataset-hidden-blockage-very-hard,Ours full,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,2.0409,225.581
dataset-hidden-blockage-easy,RPP proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0747,221.042
dataset-hidden-blockage-easy,RPP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.073,226.042
dataset-hidden-blockage-easy,RPP proxy + random retry,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0819,221.042
dataset-hidden-blockage-easy,RPP proxy + random retry,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.0746,226.042
dataset-hidden-blockage-easy,RPP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0733,221.042
dataset-hidden-blockage-easy,RPP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,121.042,0,0.0,0.0,0,0.0727,126.042
dataset-hidden-blockage-easy,ATR proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0743,220.456
dataset-hidden-blockage-easy,ATR proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,120.456,0,0.0,0.0,0,0.0743,225.456
dataset-hidden-blockage-easy,ATR proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0742,220.456
dataset-hidden-blockage-easy,ATR proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,119.87,0,0.0,0.0,0,0.0732,124.87
dataset-hidden-blockage-easy,DDP proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.2609,221.042
dataset-hidden-blockage-easy,DDP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.2608,226.042
dataset-hidden-blockage-easy,DDP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.2612,221.042
dataset-hidden-blockage-easy,DDP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,121.042,0,0.0,0.0,0,0.2618,126.042
dataset-hidden-blockage-easy,RTEB proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,2.1147,220.456
dataset-hidden-blockage-easy,RTEB proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,120.456,0,0.0,0.0,0,2.1128,225.456
dataset-hidden-blockage-easy,RTEB proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,2.1134,220.456
dataset-hidden-blockage-easy,RTEB proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,119.87,0,0.0,0.0,0,2.0228,124.87
dataset-hidden-blockage-easy,Ours full,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,1.8269,221.042
dataset-hidden-blockage-easy,Ours full,1,1,2,"(234, 159)",True,True,False,False,1,0,0,121.042,0,0.0,0.0,0,1.844,126.042
dataset-hidden-blockage-medium,RPP proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0732,221.042
dataset-hidden-blockage-medium,RPP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.0728,226.042
dataset-hidden-blockage-medium,RPP proxy + random retry,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0733,221.042
dataset-hidden-blockage-medium,RPP proxy + random retry,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.0734,226.042
dataset-hidden-blockage-medium,RPP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0722,221.042
dataset-hidden-blockage-medium,RPP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,True,1,0,0,121.042,0,0.0,0.0,0,0.0724,126.042
