Variant,Batch,Task,Attempt,Start,Goal,SafeOpeningStart,Planned,Executable,UsedShortPassage,Length,RememberedCells
A* repeated baseline,10,4,2,"(5, 9)","(44, 5)",15,True,False,True,40.657,0
A* repeated baseline,10,5,1,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,10,5,2,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,11,1,1,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,11,1,2,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,11,2,1,"(5, 5)","(44, 9)",16,True,False,True,40.657,0
A* repeated baseline,11,2,2,"(5, 5)","(44, 9)",16,True,False,True,40.657,0
A* repeated baseline,11,3,1,"(5, 9)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,11,3,2,"(5, 9)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,11,4,1,"(5, 5)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,11,4,2,"(5, 5)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,11,5,1,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,11,5,2,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,12,1,1,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,12,1,2,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,12,2,1,"(5, 8)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,12,2,2,"(5, 8)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,12,3,1,"(5, 5)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,12,3,2,"(5, 5)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,12,4,1,"(5, 7)","(44, 7)",17,True,False,True,39.0,0
A* repeated baseline,12,4,2,"(5, 7)","(44, 7)",17,True,False,True,39.0,0
A* repeated baseline,12,5,1,"(5, 8)","(44, 9)",15,True,False,True,40.243,0
A* repeated baseline,12,5,2,"(5, 8)","(44, 9)",15,True,False,True,40.243,0
A* repeated baseline,13,1,1,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,13,1,2,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,13,2,1,"(5, 6)","(44, 6)",16,True,False,True,39.828,0
A* repeated baseline,13,2,2,"(5, 6)","(44, 6)",16,True,False,True,39.828,0
A* repeated baseline,13,3,1,"(5, 9)","(44, 7)",15,True,False,True,39.828,0
A* repeated baseline,13,3,2,"(5, 9)","(44, 7)",15,True,False,True,39.828,0
A* repeated baseline,13,4,1,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,13,4,2,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,13,5,1,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,13,5,2,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,14,1,1,"(5, 8)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,14,1,2,"(5, 8)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,14,2,1,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,14,2,2,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,14,3,1,"(5, 7)","(44, 6)",17,True,False,True,39.414,0
A* repeated baseline,14,3,2,"(5, 7)","(44, 6)",17,True,False,True,39.414,0
A* repeated baseline,14,4,1,"(5, 5)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,14,4,2,"(5, 5)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,14,5,1,"(5, 5)","(44, 7)",17,True,False,True,39.828,0
A* repeated baseline,14,5,2,"(5, 5)","(44, 7)",17,True,False,True,39.828,0
A* repeated baseline,15,1,1,"(5, 5)","(44, 9)",16,True,False,True,40.657,0
A* repeated baseline,15,1,2,"(5, 5)","(44, 9)",16,True,False,True,40.657,0
A* repeated baseline,15,2,1,"(5, 6)","(44, 6)",16,True,False,True,39.828,0
A* repeated baseline,15,2,2,"(5, 6)","(44, 6)",16,True,False,True,39.828,0
A* repeated baseline,15,3,1,"(5, 7)","(44, 9)",16,True,False,True,39.828,0
