Strategy,Seed,Mission,ObstacleX,ObstacleStart,ObstacleDuration,Success,Replans,WaitSteps,PathLength,TotalCost
Static plan,82,1,26,13,26,False,0,0,14.0,254.0
Static plan,82,2,34,24,33,False,0,0,24.0,264.0
Static plan,83,0,26,13,20,False,0,0,14.0,254.0
Static plan,83,1,30,20,40,False,0,0,20.0,260.0
Static plan,83,2,26,15,43,False,0,0,15.0,255.0
Static plan,84,0,34,24,34,False,0,0,24.0,264.0
Static plan,84,1,38,26,42,False,0,0,26.0,266.0
Static plan,84,2,34,23,33,False,0,0,23.0,263.0
Static plan,85,0,26,13,18,False,0,0,14.0,254.0
Static plan,85,1,38,25,32,False,0,0,26.0,266.0
Static plan,85,2,34,22,22,False,0,0,22.0,262.0
Static plan,86,0,34,21,41,False,0,0,22.0,262.0
Static plan,86,1,26,14,4,False,0,0,14.0,254.0
Static plan,86,2,26,14,11,False,0,0,14.0,254.0
Static plan,87,0,30,19,43,False,0,0,19.0,259.0
Static plan,87,1,38,28,43,False,0,0,28.0,268.0
Static plan,87,2,34,23,14,False,0,0,23.0,263.0
Static plan,88,0,38,26,42,False,0,0,26.0,266.0
Static plan,88,1,34,21,18,False,0,0,22.0,262.0
Static plan,88,2,34,24,32,False,0,0,24.0,264.0
Static plan,89,0,26,15,12,False,0,0,15.0,255.0
Static plan,89,1,26,14,23,False,0,0,14.0,254.0
Static plan,89,2,38,27,37,False,0,0,27.0,267.0
Static plan,90,0,26,15,29,False,0,0,15.0,255.0
Static plan,90,1,34,24,7,False,0,0,24.0,264.0
Static plan,90,2,30,20,9,False,0,0,20.0,260.0
Static plan,91,0,26,16,11,False,0,0,16.0,256.0
Static plan,91,1,34,21,41,False,0,0,22.0,262.0
Static plan,91,2,30,20,5,False,0,0,20.0,260.0
Static plan,92,0,34,23,17,False,0,0,23.0,263.0
Static plan,92,1,34,24,36,False,0,0,24.0,264.0
Static plan,92,2,38,25,25,False,0,0,26.0,266.0
Static plan,93,0,30,17,4,False,0,0,18.0,258.0
Static plan,93,1,38,27,13,False,0,0,27.0,267.0
Static plan,93,2,26,15,13,False,0,0,15.0,255.0
Static plan,94,0,30,18,31,False,0,0,18.0,258.0
Static plan,94,1,30,20,30,False,0,0,20.0,260.0
Static plan,94,2,38,28,5,False,0,0,28.0,268.0
Static plan,95,0,38,27,43,False,0,0,27.0,267.0
Static plan,95,1,34,23,29,False,0,0,23.0,263.0
Static plan,95,2,38,25,43,False,0,0,26.0,266.0
Static plan,96,0,38,27,11,False,0,0,27.0,267.0
Static plan,96,1,26,16,4,False,0,0,16.0,256.0
Static plan,96,2,30,20,27,False,0,0,20.0,260.0
Static plan,97,0,26,13,6,False,0,0,14.0,254.0
Static plan,97,1,26,13,38,False,0,0,14.0,254.0
Static plan,97,2,34,21,8,False,0,0,22.0,262.0
Static plan,98,0,38,26,4,False,0,0,26.0,266.0
Static plan,98,1,34,21,28,False,0,0,22.0,262.0
Static plan,98,2,38,25,4,False,0,0,26.0,266.0
Static plan,99,0,38,28,25,False,0,0,28.0,268.0
Static plan,99,1,34,22,34,False,0,0,22.0,262.0
Static plan,99,2,38,26,23,False,0,0,26.0,266.0
Wait-only,0,0,38,25,4,True,0,3,53.0,62.0
Wait-only,0,1,30,17,25,True,0,24,53.0,125.0
Wait-only,0,2,26,15,24,True,0,24,53.0,125.0
Wait-only,1,0,30,20,33,True,0,33,53.0,152.0
Wait-only,1,1,38,25,23,True,0,22,53.0,119.0
Wait-only,1,2,30,18,13,True,0,13,53.0,92.0
Wait-only,2,0,30,20,27,True,0,27,53.0,134.0
Wait-only,2,1,34,22,32,True,0,32,53.0,149.0
Wait-only,2,2,30,19,29,True,0,29,53.0,140.0
Wait-only,3,0,30,17,4,True,0,3,53.0,62.0
Wait-only,3,1,30,19,19,True,0,19,53.0,110.0
Wait-only,3,2,38,28,19,True,0,19,53.0,110.0
Wait-only,4,0,26,16,9,True,0,9,53.0,80.0
Wait-only,4,1,34,21,8,True,0,7,53.0,74.0
