TrajectoryType,ProcessNoise,BaseRiskRadius,UncertaintyScale,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,0.01,1.5,0.05,3,0,False,3,5,0,0,17.0,1.2611,1.5606,287.0
turn,0.01,1.5,0.05,3,1,True,0,0,0,0,73.184,1.1372,1.5542,73.184
turn,0.01,1.5,0.05,3,2,True,5,14,0,0,113.627,1.1263,1.5529,180.627
turn,0.01,1.5,0.05,4,0,True,3,9,0,0,107.042,1.1018,1.553,149.042
turn,0.01,1.5,0.05,4,1,True,3,9,0,0,121.971,1.0856,1.5528,163.971
turn,0.01,1.5,0.05,4,2,True,1,4,0,0,103.042,1.1833,1.5531,120.042
turn,0.01,1.7,0.01,0,0,True,4,10,0,0,131.627,1.1681,1.7105,181.627
turn,0.01,1.7,0.01,0,1,True,4,10,0,0,125.971,1.0684,1.7105,175.971
turn,0.01,1.7,0.01,0,2,True,4,12,0,0,115.87,1.057,1.7106,171.87
turn,0.01,1.7,0.01,1,0,True,1,4,0,0,85.042,1.2686,1.7107,102.042
turn,0.01,1.7,0.01,1,1,True,3,9,0,0,128.314,0.9913,1.7105,170.314
turn,0.01,1.7,0.01,1,2,True,3,9,0,0,122.213,1.2174,1.7106,164.213
turn,0.01,1.7,0.01,2,0,False,1,1,0,0,17.0,1.9491,1.7123,265.0
turn,0.01,1.7,0.01,2,1,False,2,6,0,0,45.314,1.1271,1.711,313.314
turn,0.01,1.7,0.01,2,2,True,1,4,0,0,88.698,1.0254,1.7107,105.698
turn,0.01,1.7,0.01,3,0,True,1,4,0,0,85.042,1.0271,1.7107,102.042
turn,0.01,1.7,0.01,3,1,True,3,9,0,0,102.698,1.1084,1.7106,144.698
turn,0.01,1.7,0.01,3,2,True,3,5,0,0,56.314,1.0651,1.7109,86.314
turn,0.01,1.7,0.01,4,0,True,3,9,0,0,104.556,1.1018,1.7106,146.556
turn,0.01,1.7,0.01,4,1,True,4,12,0,0,128.799,1.0654,1.7105,184.799
turn,0.01,1.7,0.01,4,2,True,4,6,0,0,113.042,1.1862,1.7106,151.042
turn,0.01,1.7,0.02,0,0,True,4,10,0,0,131.627,1.1681,1.7211,181.627
turn,0.01,1.7,0.02,0,1,True,4,10,0,0,125.971,1.0684,1.7211,175.971
turn,0.01,1.7,0.02,0,2,True,4,12,0,0,115.87,1.057,1.7211,171.87
turn,0.01,1.7,0.02,1,0,True,1,4,0,0,85.042,1.2686,1.7214,102.042
turn,0.01,1.7,0.02,1,1,True,3,9,0,0,128.314,0.9913,1.7211,170.314
turn,0.01,1.7,0.02,1,2,True,3,9,0,0,122.213,1.2174,1.7211,164.213
turn,0.01,1.7,0.02,2,0,False,1,1,0,0,17.0,1.9491,1.7247,265.0
turn,0.01,1.7,0.02,2,1,False,2,6,0,0,45.314,1.1271,1.7221,313.314
turn,0.01,1.7,0.02,2,2,True,1,4,0,0,88.698,1.0254,1.7214,105.698
turn,0.01,1.7,0.02,3,0,True,1,4,0,0,85.042,1.0271,1.7214,102.042
turn,0.01,1.7,0.02,3,1,True,2,8,0,0,102.113,1.1103,1.7212,136.113
