PositionNoise,RiskScale,Seed,Mission,Success,Replans,WaitSteps,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
1.5,0.1,0,0,False,3,6,28.0,2.483,1.7045,301.0
1.5,0.1,0,1,False,3,9,62.314,2.0833,1.7006,344.314
1.5,0.1,0,2,True,2,8,91.184,1.7913,1.6997,125.184
1.5,0.1,1,0,True,2,6,107.971,2.3765,1.6992,135.971
1.5,0.1,1,1,True,4,7,56.071,2.0399,1.7011,97.071
1.5,0.1,1,2,False,1,3,23.243,2.6851,1.7066,277.243
1.5,0.1,2,0,True,7,14,111.142,2.2732,1.699,188.142
1.5,0.1,2,1,False,3,6,31.0,1.9729,1.7038,304.0
1.5,0.1,2,2,True,1,5,73.184,1.9246,1.7006,93.184
1.5,0.1,3,0,False,3,9,61.657,2.0026,1.7005,343.657
1.5,0.1,3,1,True,2,7,97.971,2.1454,1.6994,128.971
1.5,0.1,3,2,False,2,4,14.0,2.4139,1.7115,276.0
1.5,0.1,4,0,False,4,9,37.142,2.0546,1.7031,324.142
1.5,0.1,4,1,True,1,4,111.669,1.9421,1.6993,128.669
1.5,0.1,4,2,True,2,7,103.042,2.3117,1.6993,134.042
1.5,0.1,5,0,False,1,3,14.0,2.8251,1.7115,268.0
1.5,0.1,5,1,False,4,6,32.657,1.849,1.704,310.657
1.5,0.1,5,2,True,1,4,77.669,1.9788,1.7005,94.669
1.5,0.1,6,0,False,1,3,19.0,2.3604,1.708,273.0
1.5,0.1,6,1,True,2,6,105.426,2.1527,1.6994,133.426
1.5,0.1,6,2,True,4,9,123.627,2.256,1.6989,170.627
1.5,0.1,7,0,True,6,16,134.556,2.0905,1.6987,212.556
1.5,0.1,7,1,False,2,6,57.799,2.1132,1.7011,325.799
1.5,0.1,7,2,True,1,5,88.698,1.8156,1.6998,108.698
1.5,0.1,8,0,True,4,9,124.456,1.9352,1.6989,171.456
1.5,0.1,8,1,True,4,13,128.841,1.9476,1.6989,187.841
1.5,0.1,8,2,False,4,12,55.485,1.9928,1.7008,351.485
1.5,0.1,9,0,True,3,10,124.598,2.1302,1.6989,169.598
1.5,0.1,9,1,False,3,9,49.142,2.0714,1.7015,331.142
1.5,0.1,9,2,True,2,6,113.77,2.0531,1.6992,141.77
1.5,0.15,0,0,False,3,6,28.0,2.483,1.8067,301.0
1.5,0.15,0,1,True,1,5,74.355,2.0696,1.8007,94.355
1.5,0.15,0,2,True,2,8,88.698,1.7913,1.7996,122.698
1.5,0.15,1,0,True,2,6,107.971,2.3765,1.7988,135.971
1.5,0.15,1,1,False,5,9,36.828,2.183,1.8042,328.828
1.5,0.15,1,2,False,1,3,35.899,2.5087,1.8054,289.899
1.5,0.15,2,0,True,5,9,55.485,2.4194,1.8017,107.485
1.5,0.15,2,1,False,1,3,59.698,2.0772,1.802,313.698
1.5,0.15,2,2,False,3,9,43.071,1.8654,1.8029,325.071
1.5,0.15,3,0,False,3,9,61.657,2.0026,1.8007,343.657
1.5,0.15,3,1,True,2,7,97.971,2.1454,1.7991,128.971
1.5,0.15,3,2,False,2,4,14.0,2.4139,1.8172,276.0
1.5,0.15,4,0,False,4,9,37.142,2.0546,1.8046,324.142
1.5,0.15,4,1,False,1,3,41.485,2.2574,1.804,295.485
1.5,0.15,4,2,True,2,7,119.627,2.2647,1.7985,150.627
1.5,0.15,5,0,False,1,3,14.0,2.8251,1.8172,268.0
1.5,0.15,5,1,False,4,6,31.657,1.8284,1.8063,309.657
1.5,0.15,5,2,True,1,4,77.669,1.9788,1.8007,94.669
1.5,0.15,6,0,True,5,9,121.083,2.0716,1.7986,173.083
1.5,0.15,6,1,False,1,3,17.0,2.3147,1.8138,271.0
1.5,0.15,6,2,True,2,6,109.912,2.2748,1.799,137.912
1.5,0.15,7,0,True,6,15,147.77,2.1463,1.7979,222.77
1.5,0.15,7,1,False,2,6,57.799,2.1132,1.8017,325.799
1.5,0.15,7,2,True,1,5,88.698,1.8156,1.7997,108.698
1.5,0.15,8,0,True,4,9,124.456,1.9352,1.7984,171.456
1.5,0.15,8,1,True,4,13,128.841,1.9476,1.7983,187.841
1.5,0.15,8,2,False,4,12,55.485,1.9928,1.8012,351.485
1.5,0.15,9,0,True,3,10,124.598,2.1302,1.7984,169.598
1.5,0.15,9,1,False,3,9,49.142,2.0714,1.8023,331.142
1.5,0.15,9,2,True,2,6,113.77,2.0531,1.7988,141.77
2.5,0.01,0,0,False,1,3,13.0,4.7998,1.5298,267.0
2.5,0.01,0,1,True,2,8,103.77,3.1361,1.5288,137.77
2.5,0.01,0,2,False,4,6,31.414,2.9663,1.5291,309.414
2.5,0.01,1,0,True,6,11,53.0,3.6739,1.5289,116.0
2.5,0.01,1,1,False,2,6,52.556,3.3209,1.529,320.556
2.5,0.01,1,2,False,4,6,25.0,4.1314,1.5293,303.0
2.5,0.01,2,0,True,8,15,113.87,3.3162,1.5288,198.87
2.5,0.01,2,1,True,7,18,189.669,3.0502,1.5287,278.669
2.5,0.01,2,2,False,1,3,18.0,3.5353,1.5295,272.0
2.5,0.01,3,0,True,4,8,102.941,2.8561,1.5288,146.941
2.5,0.01,3,1,True,4,10,94.799,3.3896,1.5288,144.799
2.5,0.01,3,2,True,9,21,117.184,3.1259,1.5288,225.184
2.5,0.01,4,0,True,5,12,113.912,3.2869,1.5288,174.912
2.5,0.01,4,1,True,2,6,94.941,2.8175,1.5288,122.941
2.5,0.01,4,2,False,2,6,39.828,4.1453,1.529,307.828
2.5,0.01,5,0,True,3,7,87.042,3.1693,1.5288,123.042
2.5,0.01,5,1,False,3,9,71.657,3.0088,1.5288,353.657
2.5,0.01,5,2,True,5,12,159.87,2.8442,1.5287,220.87
2.5,0.01,6,0,True,5,11,109.669,3.0893,1.5288,167.669
2.5,0.01,6,1,False,1,3,17.0,3.5097,1.5295,271.0
2.5,0.01,6,2,False,2,6,46.385,3.2732,1.529,314.385
2.5,0.01,7,0,True,6,15,177.569,3.1742,1.5287,252.569
2.5,0.01,7,1,True,2,6,113.042,3.1445,1.5288,141.042
2.5,0.01,7,2,False,3,7,16.0,4.4452,1.5295,292.0
2.5,0.01,8,0,False,8,9,27.0,3.6672,1.5292,334.0
2.5,0.01,8,1,False,1,3,32.799,3.6082,1.5292,286.799
2.5,0.01,8,2,True,1,3,79.426,2.8898,1.5289,93.426
