TrajectoryType,Strategy,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,Default uncertainty-aware memory,1016,1,True,5,9,0,0,130.941,1.1839,1.5248,182.941
turn,Default uncertainty-aware memory,1016,2,False,2,4,0,0,28.0,1.7245,1.526,290.0
turn,Default uncertainty-aware memory,1017,0,False,1,3,0,0,18.0,1.4561,1.5268,272.0
turn,Default uncertainty-aware memory,1017,1,True,0,0,0,0,73.184,1.0974,1.5252,73.184
turn,Default uncertainty-aware memory,1017,2,True,4,8,0,0,117.042,1.2777,1.5248,161.042
turn,Default uncertainty-aware memory,1018,0,True,4,8,0,0,157.728,1.191,1.5247,201.728
turn,Default uncertainty-aware memory,1018,1,False,1,2,0,0,25.0,1.3417,1.5262,276.0
turn,Default uncertainty-aware memory,1018,2,True,2,3,0,0,118.799,1.2837,1.5248,137.799
turn,Default uncertainty-aware memory,1019,0,True,3,7,0,0,142.314,1.3237,1.5247,178.314
turn,Default uncertainty-aware memory,1019,1,False,3,9,0,0,58.071,1.1514,1.5252,340.071
turn,Default uncertainty-aware memory,1019,2,False,1,3,0,0,13.828,1.9284,1.5275,267.828
turn,Calibrated uncertainty-aware memory,1000,0,True,1,5,0,0,107.042,1.2046,1.7124,127.042
turn,Calibrated uncertainty-aware memory,1000,1,False,2,4,0,0,21.0,1.3197,1.7132,283.0
turn,Calibrated uncertainty-aware memory,1000,2,True,5,11,0,0,136.456,1.1802,1.7124,194.456
turn,Calibrated uncertainty-aware memory,1001,0,True,4,8,0,0,101.184,1.2293,1.7125,145.184
turn,Calibrated uncertainty-aware memory,1001,1,True,3,10,0,0,103.87,1.2382,1.7124,148.87
turn,Calibrated uncertainty-aware memory,1001,2,False,1,3,0,0,15.0,1.5607,1.7136,269.0
turn,Calibrated uncertainty-aware memory,1002,0,True,2,6,0,0,114.799,1.2877,1.7124,142.799
turn,Calibrated uncertainty-aware memory,1002,1,True,4,9,0,0,121.284,1.2093,1.7124,168.284
turn,Calibrated uncertainty-aware memory,1002,2,False,1,3,0,0,19.0,1.5275,1.7133,273.0
turn,Calibrated uncertainty-aware memory,1003,0,False,1,3,0,0,22.0,1.5115,1.7132,276.0
turn,Calibrated uncertainty-aware memory,1003,1,True,2,6,0,0,146.456,1.2456,1.7124,174.456
turn,Calibrated uncertainty-aware memory,1003,2,True,5,13,0,0,133.971,1.3697,1.7124,197.971
turn,Calibrated uncertainty-aware memory,1004,0,True,2,6,0,0,84.941,1.248,1.7125,112.941
turn,Calibrated uncertainty-aware memory,1004,1,True,2,6,0,0,89.728,1.2474,1.7125,117.728
turn,Calibrated uncertainty-aware memory,1004,2,False,2,6,0,0,46.657,1.4342,1.7127,314.657
turn,Calibrated uncertainty-aware memory,1005,0,True,1,3,0,0,56.314,1.2353,1.7126,70.314
turn,Calibrated uncertainty-aware memory,1005,1,True,2,6,0,0,125.284,1.396,1.7124,153.284
turn,Calibrated uncertainty-aware memory,1005,2,False,2,6,0,0,47.657,1.522,1.7127,315.657
turn,Calibrated uncertainty-aware memory,1006,0,False,2,6,0,0,51.657,1.2834,1.7126,319.657
turn,Calibrated uncertainty-aware memory,1006,1,True,0,1,0,0,80.255,1.4583,1.7125,83.255
turn,Calibrated uncertainty-aware memory,1006,2,False,1,3,0,0,29.0,1.1186,1.713,283.0
turn,Calibrated uncertainty-aware memory,1007,0,False,6,12,0,0,64.385,1.4005,1.7126,370.385
turn,Calibrated uncertainty-aware memory,1007,1,True,4,7,0,0,103.142,1.3451,1.7124,144.142
turn,Calibrated uncertainty-aware memory,1007,2,False,2,2,0,0,28.0,1.569,1.713,284.0
turn,Calibrated uncertainty-aware memory,1008,0,True,2,7,0,0,97.184,1.2859,1.7125,128.184
turn,Calibrated uncertainty-aware memory,1008,1,True,1,5,0,0,89.042,1.2637,1.7125,109.042
turn,Calibrated uncertainty-aware memory,1008,2,False,2,6,0,0,50.657,1.4778,1.7126,318.657
turn,Calibrated uncertainty-aware memory,1009,0,False,3,4,0,0,25.0,1.3475,1.7131,292.0
turn,Calibrated uncertainty-aware memory,1009,1,True,0,2,0,0,73.184,1.1609,1.7126,79.184
turn,Calibrated uncertainty-aware memory,1009,2,True,3,9,0,0,142.314,1.2646,1.7124,184.314
turn,Calibrated uncertainty-aware memory,1010,0,True,2,8,0,0,84.113,1.3733,1.7125,118.113
turn,Calibrated uncertainty-aware memory,1010,1,True,1,5,0,0,56.314,1.2324,1.7126,76.314
turn,Calibrated uncertainty-aware memory,1010,2,True,4,7,0,0,56.314,1.0991,1.7126,97.314
turn,Calibrated uncertainty-aware memory,1011,0,False,2,6,0,0,17.828,1.3972,1.7133,285.828
turn,Calibrated uncertainty-aware memory,1011,1,True,2,7,0,0,135.77,1.3815,1.7124,166.77
turn,Calibrated uncertainty-aware memory,1011,2,False,1,3,0,0,21.0,1.5203,1.7132,275.0
turn,Calibrated uncertainty-aware memory,1012,0,True,3,9,0,0,141.971,1.2993,1.7124,183.971
turn,Calibrated uncertainty-aware memory,1012,1,True,3,6,0,0,98.314,1.1933,1.7124,131.314
turn,Calibrated uncertainty-aware memory,1012,2,False,1,3,0,0,25.0,1.1247,1.7131,279.0
turn,Calibrated uncertainty-aware memory,1013,0,False,1,3,0,0,16.0,1.682,1.7135,270.0
turn,Calibrated uncertainty-aware memory,1013,1,True,0,0,0,0,73.184,1.236,1.7126,73.184
turn,Calibrated uncertainty-aware memory,1013,2,True,2,6,0,0,99.042,1.1569,1.7124,127.042
turn,Calibrated uncertainty-aware memory,1014,0,False,3,5,0,0,19.0,1.3008,1.7133,289.0
turn,Calibrated uncertainty-aware memory,1014,1,True,0,2,0,0,73.184,1.2183,1.7126,79.184
turn,Calibrated uncertainty-aware memory,1014,2,True,3,9,0,0,118.314,1.2958,1.7124,160.314
turn,Calibrated uncertainty-aware memory,1015,0,True,2,6,0,0,138.314,1.1439,1.7124,166.314
turn,Calibrated uncertainty-aware memory,1015,1,False,2,4,0,0,29.0,1.3945,1.713,291.0
turn,Calibrated uncertainty-aware memory,1015,2,True,1,3,0,0,76.497,1.3856,1.7126,90.497
turn,Calibrated uncertainty-aware memory,1016,0,True,2,6,0,0,124.799,1.201,1.7124,152.799
turn,Calibrated uncertainty-aware memory,1016,1,True,5,10,0,0,130.355,1.1839,1.7124,185.355
turn,Calibrated uncertainty-aware memory,1016,2,True,2,7,0,0,118.799,1.3067,1.7124,149.799
turn,Calibrated uncertainty-aware memory,1017,0,False,1,3,0,0,18.0,1.4561,1.7134,272.0
turn,Calibrated uncertainty-aware memory,1017,1,True,0,0,0,0,73.184,1.0974,1.7126,73.184
turn,Calibrated uncertainty-aware memory,1017,2,True,4,8,0,0,117.042,1.2777,1.7124,161.042
turn,Calibrated uncertainty-aware memory,1018,0,True,3,8,0,0,147.142,1.187,1.7124,186.142
turn,Calibrated uncertainty-aware memory,1018,1,False,1,3,0,0,24.0,1.3417,1.7131,278.0
turn,Calibrated uncertainty-aware memory,1018,2,True,2,3,0,0,118.799,1.2837,1.7124,137.799
turn,Calibrated uncertainty-aware memory,1019,0,True,3,7,0,0,142.314,1.3237,1.7124,178.314
turn,Calibrated uncertainty-aware memory,1019,1,False,3,9,0,0,57.071,1.148,1.7126,339.071
turn,Calibrated uncertainty-aware memory,1019,2,False,1,3,0,0,13.828,1.9284,1.7138,267.828
sudden-acceleration,Constant velocity memory,1000,0,True,1,3,0,0,99.042,1.2423,1.6,113.042
sudden-acceleration,Constant velocity memory,1000,1,True,1,3,0,0,103.042,1.2292,1.6,117.042
sudden-acceleration,Constant velocity memory,1000,2,True,2,6,0,0,89.485,1.3722,1.6,117.485
sudden-acceleration,Constant velocity memory,1001,0,True,2,6,0,0,87.142,1.1707,1.6,115.142
sudden-acceleration,Constant velocity memory,1001,1,True,1,3,0,0,107.042,1.2287,1.6,121.042
sudden-acceleration,Constant velocity memory,1001,2,False,5,11,0,0,43.071,1.2424,1.6,341.071
sudden-acceleration,Constant velocity memory,1002,0,True,1,3,0,0,93.042,1.3215,1.6,107.042
sudden-acceleration,Constant velocity memory,1002,1,True,1,4,0,0,97.042,1.3345,1.6,114.042
sudden-acceleration,Constant velocity memory,1002,2,True,2,6,0,0,85.243,1.2297,1.6,113.243
sudden-acceleration,Constant velocity memory,1003,0,True,3,9,0,0,99.385,1.3244,1.6,141.385
sudden-acceleration,Constant velocity memory,1003,1,True,1,3,0,0,105.042,1.2786,1.6,119.042
sudden-acceleration,Constant velocity memory,1003,2,True,1,3,0,0,101.042,1.4229,1.6,115.042
sudden-acceleration,Constant velocity memory,1004,0,True,1,3,0,0,111.042,1.3087,1.6,125.042
sudden-acceleration,Constant velocity memory,1004,1,True,2,6,0,0,84.556,1.3343,1.6,112.556
sudden-acceleration,Constant velocity memory,1004,2,True,1,4,0,0,58.071,1.4084,1.6,75.071
sudden-acceleration,Constant velocity memory,1005,0,False,1,3,0,0,23.0,1.269,1.6,277.0
sudden-acceleration,Constant velocity memory,1005,1,True,0,0,0,0,73.184,1.293,1.6,73.184
sudden-acceleration,Constant velocity memory,1005,2,True,2,5,0,0,55.485,1.2774,1.6,80.485
sudden-acceleration,Constant velocity memory,1006,0,True,1,4,0,0,91.042,1.3613,1.6,108.042
sudden-acceleration,Constant velocity memory,1006,1,False,1,3,0,0,19.0,1.2353,1.6,273.0
